type,arities,num_leaves,batch_size,upds_per_sec,hashes_per_sec,num_hashes
type,arities,num_leaves,batch_size,upds_per_sec,hashes_per_sec,num_hashes
merkle_sha3,16,2000000000,1,11764,105882,9
merkle_sha3,16,2000000000,2,24096,204819,17
merkle_sha3,16,2000000000,4,31007,240310,31
merkle_sha3,16,2000000000,8,33898,262711,62
merkle_sha3,16,2000000000,16,39702,292803,118
merkle_sha3,16,2000000000,32,47197,336283,228
merkle_sha3,16,2000000000,64,54747,378956,443
merkle_sha3,16,2000000000,128,59149,390018,844
merkle_sha3,16,2000000000,256,69888,444990,1630
merkle_sha3,16,2000000000,512,73860,452106,3134
merkle_sha3,16,2000000000,1024,54546,320300,6013
merkle_sha3,16,2000000000,2048,85287,481655,11566
merkle_sha3,16,2000000000,4096,89555,480770,21989
merkle_sha3,16,2000000000,8192,100425,513417,41881
merkle_sha3,16,2000000000,16384,112368,547563,79838
merkle_sha3,16,2000000000,32768,121820,565107,152006
merkle_sha3,16,2000000000,65536,133296,583060,286664
merkle_sha3,16,2000000000,131072,145475,598503,539246
merkle_sha3,16,2000000000,262144,160320,622060,1017145
merkle_sha3,16,2000000000,524288,177134,644947,1908934
merkle_sha3,16,2000000000,1048576,194329,655747,3538326
